# x_value,depth,gradient
314.000000,-1.926000,-1.794891
315.000000,-1.923000,-2.392982
316.000000,-1.485200,-2.092289
317.000000,-2.047400,-1.263193
318.000000,-2.609600,-1.789294
319.000000,-2.171800,-1.569438
320.000000,-2.234000,-2.500429
321.000000,-2.773800,-3.653948
322.000000,-2.813600,-3.017625
323.000000,-2.853400,-3.017625
324.000000,-2.393200,-0.904237
325.000000,-2.433000,-2.151932
326.000000,-2.461400,-2.293990
327.000000,-2.489800,-1.938603
328.000000,-2.518200,-1.506936
329.000000,-2.546600,-1.888068
330.000000,-2.575000,-2.945241
331.000000,-2.615000,-2.945241
332.000000,-2.655000,-3.362348
333.000000,-1.695000,-2.863902
334.000000,-3.235000,-1.930398
335.000000,-3.275000,-1.436524
336.000000,-2.872200,-1.481173
337.000000,-2.969400,-1.379412
338.000000,-3.066600,-1.263469
339.000000,-3.163800,-1.427767
340.000000,-3.261000,-1.811259
341.000000,-3.326800,-1.811621
342.000000,-3.392600,-1.785087
343.000000,-3.458400,-1.289699
344.000000,-3.524200,-1.286015
345.000000,-3.090000,-1.404096
346.000000,-3.601600,-1.492085
347.000000,-3.613200,-1.916268
348.000000,-3.624800,-2.122702
349.000000,-3.636400,-2.122702
350.000000,-3.648000,-1.218378
351.000000,-3.194200,-1.034996
352.000000,-3.240400,-0.928021
353.000000,-3.286600,-0.832835
354.000000,-3.832800,-1.056401
355.000000,-3.879000,-0.850832
356.000000,-3.405400,-0.742715
357.000000,-3.431800,-0.633381
358.000000,-5.458200,-1.265227
359.000000,-5.484600,-1.322705
360.000000,-6.011000,-1.203390
361.000000,-4.031600,-0.597327
362.000000,-4.052200,-0.535612
363.000000,-6.072800,-1.000557
364.000000,-6.093400,-1.000557
365.000000,-6.114000,-0.802690
366.000000,-6.119400,-0.653054
367.000000,-6.124800,-0.653054
368.000000,-6.130200,-0.586438
369.000000,-13.135600,-0.740843
370.000000,-8.141000,-0.875662
